image_idx,marker_id,corner_num,x,y
0,4,0,687.0,828.0
0,4,1,637.0,815.0
0,4,2,633.0,763.0
0,4,3,680.0,778.0
0,3,0,810.0,856.0
0,3,1,771.0,849.0
0,3,2,760.0,800.0
0,3,3,798.0,810.0
0,9,0,737.0,776.0
0,9,1,695.0,763.0
0,9,2,688.0,722.0
0,9,3,728.0,736.0
0,14,0,665.0,696.0
0,14,1,621.0,679.0
0,14,2,617.0,640.0
0,14,3,658.0,656.0
0,13,0,778.0,735.0
0,13,1,740.0,722.0
0,13,2,733.0,684.0
0,13,3,769.0,698.0
0,8,0,844.0,807.0
0,8,1,809.0,797.0
0,8,2,799.0,756.0
0,8,3,832.0,767.0
0,2,0,907.0,877.0
0,2,1,876.0,869.0
0,2,2,863.0,828.0
0,2,3,895.0,836.0
0,24,0,649.0,589.0
0,24,1,609.0,573.0
0,24,2,607.0,540.0
0,24,3,644.0,556.0
0,12,0,871.0,767.0
0,12,1,841.0,757.0
0,12,2,830.0,721.0
0,12,3,859.0,732.0
0,23,0,751.0,635.0
0,23,1,717.0,619.0
0,23,2,713.0,588.0
0,23,3,745.0,604.0
0,18,0,811.0,701.0
0,18,1,779.0,689.0
0,18,2,771.0,656.0
0,18,3,802.0,668.0
0,29,0,694.0,567.0
0,29,1,659.0,551.0
0,29,2,654.0,524.0
0,29,3,688.0,538.0
0,7,0,929.0,830.0
0,7,1,902.0,823.0
0,7,2,890.0,786.0
0,7,3,916.0,794.0
0,1,0,985.0,891.0
0,1,1,961.0,887.0
0,1,2,947.0,848.0
0,1,3,972.0,854.0
0,34,0,638.0,503.0
0,34,1,603.0,485.0
0,34,2,603.0,459.0
0,34,3,636.0,476.0
0,22,0,840.0,671.0
0,22,1,811.0,659.0
0,22,2,803.0,630.0
0,22,3,831.0,642.0
0,33,0,732.0,549.0
0,33,1,701.0,533.0
0,33,2,696.0,508.0
0,33,3,726.0,522.0
0,17,0,894.0,731.0
0,17,1,867.0,721.0
0,17,2,859.0,691.0
0,17,3,884.0,702.0
0,11,0,947.0,791.0
0,11,1,923.0,783.0
0,11,2,912.0,751.0
0,11,3,936.0,760.0
0,6,0,998.0,847.0
0,6,1,977.0,843.0
0,6,2,965.0,809.0
0,6,3,987.0,816.0
0,38,0,765.0,532.0
0,38,1,737.0,517.0
0,38,2,732.0,495.0
0,38,3,760.0,510.0
0,21,0,913.0,703.0
0,21,1,890.0,692.0
0,21,2,882.0,665.0
0,21,3,904.0,676.0
0,27,0,864.0,645.0
0,27,1,839.0,633.0
0,27,2,832.0,610.0
0,27,3,856.0,621.0
0,37,0,837.0,571.0
0,37,1,815.0,559.0
0,37,2,810.0,536.0
0,37,3,832.0,548.0
0,16,0,963.0,756.0
0,16,1,941.0,749.0
0,16,2,932.0,721.0
0,16,3,952.0,729.0
0,19,0,712.0,663.0
0,19,1,673.0,647.0
0,19,2,668.0,612.0
0,19,3,706.0,628.0
0,28,0,785.0,610.0
0,28,1,755.0,597.0
0,28,2,750.0,568.0
0,28,3,778.0,582.0
0,31,0,883.0,624.0
0,31,1,863.0,615.0
0,31,2,856.0,591.0
0,31,3,875.0,600.0
0,32,0,814.0,589.0
0,32,1,788.0,577.0
0,32,2,782.0,551.0
0,32,3,808.0,565.0
0,39,0,681.0,489.0
0,39,1,649.0,471.0
0,39,2,646.0,448.0
0,39,3,677.0,464.0
1,34,0,785.0,866.0
1,34,1,783.0,901.0
1,34,2,749.0,891.0
1,34,3,751.0,856.0
1,39,0,740.0,805.0
1,39,1,738.0,837.0
1,39,2,702.0,826.0
1,39,3,706.0,794.0
1,29,0,832.0,834.0
1,29,1,832.0,865.0
1,29,2,799.0,857.0
1,29,3,800.0,825.0
1,24,0,876.0,890.0
1,24,1,877.0,923.0
1,24,2,845.0,915.0
1,24,3,846.0,882.0
1,33,0,789.0,778.0
1,33,1,788.0,807.0
1,33,2,755.0,797.0
1,33,3,758.0,767.0
1,38,0,748.0,722.0
1,38,1,746.0,749.0
1,38,2,713.0,739.0
1,38,3,716.0,711.0
