image_idx,marker_id,corner_num,x,y
0,35,0,821.0,339.0
0,35,1,824.0,367.0
0,35,2,802.0,381.0
0,35,3,797.0,352.0
0,25,0,884.0,303.0
0,25,1,886.0,329.0
0,25,2,865.0,341.0
0,25,3,864.0,314.0
0,36,0,832.0,416.0
0,36,1,835.0,441.0
0,36,2,815.0,455.0
0,36,3,811.0,432.0
0,30,0,857.0,360.0
0,30,1,859.0,385.0
0,30,2,840.0,397.0
0,30,3,837.0,372.0
0,20,0,914.0,325.0
0,20,1,915.0,348.0
0,20,2,897.0,360.0
0,20,3,896.0,336.0
0,31,0,865.0,431.0
0,31,1,867.0,452.0
0,31,2,849.0,466.0
0,31,3,847.0,444.0
0,37,0,842.0,485.0
0,37,1,845.0,504.0
0,37,2,827.0,520.0
0,37,3,824.0,500.0
0,15,0,936.0,273.0
0,15,1,938.0,297.0
0,15,2,922.0,308.0
0,15,3,921.0,283.0
0,16,0,940.0,343.0
0,16,1,940.0,366.0
0,16,2,924.0,377.0
0,16,3,923.0,355.0
0,27,0,894.0,443.0
0,27,1,896.0,463.0
0,27,2,880.0,477.0
0,27,3,877.0,456.0
0,21,0,916.0,393.0
0,21,1,918.0,414.0
0,21,2,902.0,427.0
0,21,3,900.0,405.0
0,10,0,962.0,295.0
0,10,1,962.0,319.0
0,10,2,947.0,327.0
0,10,3,946.0,304.0
0,32,0,872.0,493.0
0,32,1,874.0,512.0
0,32,2,858.0,526.0
0,32,3,856.0,507.0
0,5,0,984.0,248.0
0,5,1,984.0,271.0
0,5,2,969.0,279.0
0,5,3,969.0,256.0
0,17,0,942.0,407.0
0,17,1,942.0,427.0
0,17,2,928.0,439.0
0,17,3,927.0,418.0
0,11,0,963.0,361.0
0,11,1,963.0,381.0
0,11,2,949.0,392.0
0,11,3,948.0,371.0
0,22,0,919.0,456.0
0,22,1,921.0,473.0
0,22,2,907.0,484.0
0,22,3,905.0,468.0
0,33,0,879.0,548.0
0,33,1,880.0,565.0
0,33,2,865.0,578.0
0,33,3,863.0,562.0
0,23,0,923.0,509.0
0,23,1,924.0,525.0
0,23,2,910.0,538.0
0,23,3,909.0,522.0
0,29,0,904.0,553.0
0,29,1,905.0,568.0
0,29,2,890.0,581.0
0,29,3,889.0,566.0
0,13,0,964.0,473.0
0,13,1,963.0,490.0
0,13,2,951.0,501.0
0,13,3,951.0,484.0
0,24,0,926.0,557.0
0,24,1,926.0,572.0
0,24,2,913.0,583.0
0,24,3,913.0,569.0
0,0,0,1005.0,270.0
0,0,1,1005.0,292.0
0,0,2,991.0,300.0
0,0,3,991.0,278.0
0,1,0,1004.0,333.0
0,1,1,1003.0,352.0
0,1,2,990.0,361.0
0,1,3,991.0,341.0
0,2,0,1002.0,390.0
0,2,1,1002.0,407.0
0,2,2,990.0,417.0
0,2,3,990.0,399.0
0,6,0,984.0,315.0
0,6,1,984.0,336.0
0,6,2,970.0,345.0
0,6,3,970.0,325.0
0,7,0,984.0,376.0
0,7,1,983.0,396.0
0,7,2,970.0,405.0
0,7,3,970.0,387.0
0,8,0,983.0,432.0
0,8,1,983.0,448.0
0,8,2,970.0,459.0
0,8,3,970.0,443.0
0,12,0,963.0,420.0
0,12,1,963.0,438.0
0,12,2,950.0,449.0
0,12,3,950.0,431.0
0,18,0,944.0,464.0
0,18,1,943.0,482.0
0,18,2,930.0,493.0
0,18,3,929.0,476.0
0,19,0,944.0,515.0
0,19,1,945.0,530.0
0,19,2,932.0,543.0
0,19,3,931.0,527.0
0,26,0,888.0,377.0
0,26,1,891.0,400.0
0,26,2,872.0,413.0
0,26,3,871.0,389.0
0,28,0,899.0,502.0
0,28,1,900.0,519.0
0,28,2,885.0,532.0
0,28,3,884.0,515.0
0,34,0,884.0,595.0
0,34,1,886.0,611.0
0,34,2,872.0,624.0
0,34,3,871.0,609.0
0,38,0,851.0,544.0
0,38,1,853.0,561.0
0,38,2,837.0,575.0
0,38,3,834.0,558.0
1,34,0,1059.0,780.0
1,34,1,1074.0,793.0
1,34,2,1047.0,812.0
1,34,3,1032.0,799.0
1,24,0,1130.0,727.0
1,24,1,1149.0,736.0
1,24,2,1123.0,756.0
1,24,3,1106.0,745.0
1,39,0,1001.0,789.0
1,39,1,1014.0,801.0
1,39,2,986.0,820.0
1,39,3,974.0,807.0
1,14,0,1198.0,676.0
1,14,1,1216.0,683.0
1,14,2,1194.0,701.0
1,14,3,1175.0,693.0
1,29,0,1072.0,739.0
1,29,1,1088.0,748.0
1,29,2,1063.0,767.0
1,29,3,1049.0,757.0
1,19,0,1140.0,689.0
1,19,1,1157.0,698.0
1,19,2,1134.0,714.0
1,19,3,1117.0,706.0
1,4,0,1256.0,629.0
1,4,1,1276.0,634.0
1,4,2,1256.0,651.0
1,4,3,1237.0,645.0
1,33,0,1018.0,749.0
1,33,1,1031.0,758.0
1,33,2,1007.0,776.0
1,33,3,994.0,766.0
1,23,0,1085.0,702.0
1,23,1,1099.0,709.0
1,23,2,1078.0,725.0
1,23,3,1063.0,718.0
1,9,0,1201.0,643.0
1,9,1,1218.0,649.0
1,9,2,1199.0,665.0
1,9,3,1182.0,659.0
1,13,0,1148.0,656.0
1,13,1,1163.0,662.0
1,13,2,1143.0,678.0
1,13,3,1126.0,672.0
1,38,0,967.0,757.0
1,38,1,978.0,767.0
1,38,2,954.0,783.0
1,38,3,944.0,774.0
1,3,0,1204.0,614.0
1,3,1,1221.0,618.0
1,3,2,1202.0,633.0
1,3,3,1185.0,628.0
1,18,0,1096.0,669.0
1,18,1,1110.0,675.0
1,18,2,1089.0,690.0
1,18,3,1075.0,684.0
1,8,0,1154.0,627.0
1,8,1,1169.0,632.0
1,8,2,1149.0,646.0
1,8,3,1135.0,641.0
1,32,0,985.0,723.0
1,32,1,995.0,730.0
1,32,2,973.0,745.0
1,32,3,963.0,738.0
1,22,0,1047.0,681.0
1,22,1,1059.0,686.0
1,22,2,1039.0,701.0
1,22,3,1026.0,695.0
1,2,0,1160.0,601.0
1,2,1,1174.0,605.0
1,2,2,1156.0,618.0
1,2,3,1141.0,614.0
1,17,0,1059.0,652.0
1,17,1,1070.0,657.0
1,17,2,1050.0,670.0
1,17,3,1041.0,665.0
1,7,0,1113.0,614.0
1,7,1,1126.0,617.0
1,7,2,1108.0,631.0
1,7,3,1096.0,627.0
1,12,0,1106.0,640.0
1,12,1,1119.0,644.0
1,12,2,1099.0,659.0
1,12,3,1086.0,654.0
1,28,0,1033.0,713.0
1,28,1,1046.0,720.0
1,28,2,1023.0,737.0
1,28,3,1011.0,728.0
2,39,0,911.0,658.0
2,39,1,924.0,672.0
2,39,2,909.0,684.0
2,39,3,897.0,670.0
2,34,0,951.0,660.0
