frame,source_cam,target_cam,mean_px_err,n_corners
26,0,1,7.732615346475138,4
27,0,1,7.860856728843193,13
28,0,1,12.72599890659964,3
74,0,1,2.737921249845662,17
75,0,1,3.177290142228145,39
76,0,1,3.262151151595003,51
77,0,1,5.446556304507545,58
101,0,1,6.939140985773804,32
113,0,1,6.847734668983137,47
124,0,1,7.240563997713788,41
135,0,1,6.998512367363245,22
146,0,1,7.38652442900449,4
242,0,1,7.581559325895167,15
243,0,1,7.264150360296391,40
244,0,1,7.439741530597579,32
245,0,1,7.557473731969195,28
246,0,1,7.39515775491312,26
247,0,1,7.1334982104328795,32
248,0,1,6.7372864594846815,43
249,0,1,6.618733862666131,62
250,0,1,6.594558127088867,63
252,0,1,6.490692219939889,63
253,0,1,6.36155568656114,63
254,0,1,6.378382646161064,63
255,0,1,6.375345879719355,63
256,0,1,6.290792871334879,63
257,0,1,6.2452333376733895,63
258,0,1,6.2751072128540475,63
259,0,1,6.149158963971693,63
260,0,1,6.229017517898811,63
261,0,1,6.24594510623165,63
263,0,1,5.912866903498928,63
265,0,1,4.840177979275143,63
60,0,2,7.870209331977271,6
61,0,2,6.720893619624941,17
62,0,2,6.836975163082807,15
63,0,2,5.980939101662376,21
64,0,2,5.890152136460675,19
65,0,2,6.0488628151702315,27
66,0,2,6.069345549345412,21
67,0,2,5.757852787053933,31
69,0,2,5.3268237837431505,31
70,0,2,4.86980181931581,42
71,0,2,4.83174253318291,37
72,0,2,4.924107691621495,39
73,0,2,5.410874861175582,34
74,0,2,5.006121553037175,39
75,0,2,5.4148875625379125,39
76,0,2,5.621578484732055,29
77,0,2,4.221751920111265,31
124,0,2,11.461828008741875,14
135,0,2,11.31757764162533,30
146,0,2,10.573330454986182,53
157,0,2,10.47022533910254,57
168,0,2,10.594467132319362,59
175,0,2,7.479820640720715,54
176,0,2,7.244540321759246,52
177,0,2,7.373711211790829,42
178,0,2,7.3652700835581895,40
179,0,2,10.546030359684403,63
180,0,2,7.552924146604255,42
181,0,2,7.779668038845214,27
182,0,2,7.935975934593617,15
183,0,2,8.016873373734079,20
184,0,2,8.462019075610161,20
185,0,2,8.242039841691161,23
187,0,2,8.347041682777009,34
188,0,2,8.473115723059907,40
189,0,2,8.4525182450033,40
190,0,2,10.54299115002758,63
191,0,2,8.57150199279294,43
192,0,2,8.5270392273282,44
193,0,2,7.546432144093538,43
194,0,2,8.48902023535702,44
195,0,2,8.407808771321546,42
196,0,2,8.698738916938847,39
197,0,2,8.607926818338772,42
199,0,2,8.390847278498661,55
200,0,2,8.33829692144734,57
201,0,2,10.518210957097207,63
202,0,2,8.316092773188611,57
203,0,2,8.283891331318777,46
206,0,2,10.396825759422569,63
208,0,2,10.329708530852612,63
